Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10µF,
"C2, C4, C5",0402,3,100nF,
C6,0402,1,56pF,
J1,PinHeader_1x08_P2.54mm_Vertical,1,DISPLAY,
"R1, R2",0402,2,5.1k,
"R3, R4, R7",0402,3,10k,
"R5, R6",0402,2,4.7k,
SW1,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,Reset,
SW2,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,Boot,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U3,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,C710403
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
