Designator,Mid X,Mid Y,Rotation,Layer
C1,124.75,-131.78,0.0,top
C2,128.25,-132.0,0.0,top
C3,124.8,-129.2,0.0,top
C4,121.5,-130.5,0.0,top
C5,128.25,-129.25,0.0,top
C6,121.52,-129.0,0.0,top
J1,115.25,-76.1,90.0,top
R1,121.75,-127.5,0.0,top
R2,128.24,-127.61,0.0,top
R3,126.25,-126.5,180.0,top
R4,121.5,-132.0,0.0,top
R5,123.75,-126.5,0.0,top
R6,124.75,-134.0,0.0,top
R7,128.25,-130.5,180.0,top
SW1,146.78,-131.47,0.0,top
SW2,136.82,-131.44,0.0,top
U1,115.35,-130.75,180.0,top
U2,162.83,-116.14,180.0,top
U3,129.0,-135.35,0.0,top
USB1,183.46,-132.9275,0.0,top
